"dept_id","dept_name","head_of_dept","total_students","total_faculty","building_name","year","email"
2,Mechanical Engineering,Dr. Ravi Patel,270,15,Innovation Hall,2018,mechanicalengineering@university.com
3,Economics,Dr. Kiran Singh,312,14,Science Tower,2008,economics@university.com
4,Biology,Dr. Priya Das,193,19,North Campus,2016,biology@university.com
5,Law,Dr. Anil Iyer,255,23,West Pavilion,2003,law@university.com
6,Physics,Dr. Pooja Nair,278,16,Research Wing,2004,physics@university.com
7,Data Science,Dr. Amit Verma,230,11,Tech Block A,2015,datascience@university.com
8,Civil Engineering,Dr. Rajesh Kaur,384,13,East Wing,2006,civilengineering@university.com
9,Psychology,Dr. Meera Patel,199,21,Main Building,2007,psychology@university.com
10,Mathematics,Dr. Sneha Banerjee,336,20,Central Block,2002,mathematics@university.com
11,Computer Science,Dr. Vikram Mehta,320,17,Innovation Hall,2020,computerscience@university.com
12,Electrical Engineering,Dr. Sunita Verma,232,19,Science Tower,2010,electricalengineering@university.com
13,Political Science,Dr. Priya Chopra,219,14,Research Wing,2013,politicalscience@university.com
14,Business Administration,Dr. Rajesh Singh,288,18,Tech Block A,2011,businessadministration@university.com
15,Architecture,Dr. Kiran Mehta,270,12,West Pavilion,2005,architecture@university.com
16,Environmental Science,Dr. Sneha Rao,310,17,Main Building,2019,environmentalscience@university.com
17,Accounting,Dr. Nisha Verma,256,13,South Annex,2009,accounting@university.com
18,Finance,Dr. Anil Mehta,330,15,Tech Block A,2010,finance@university.com
19,Marketing,Dr. Sunita Patel,346,16,Innovation Hall,2021,marketing@university.com
20,History,Dr. Ravi Banerjee,221,19,Science Tower,1999,history@university.com
21,Philosophy,Dr. Meera Verma,248,14,Central Block,2003,philosophy@university.com
22,English Literature,Dr. Priya Kaur,287,17,Main Building,2017,englishliterature@university.com
23,Chemistry,Dr. Kiran Das,293,21,Science Tower,2014,chemistry@university.com
24,Geography,Dr. Anil Singh,242,11,North Campus,2001,geography@university.com
25,Statistics,Dr. Nisha Patel,189,15,South Annex,2020,statistics@university.com
26,Design,Dr. Rajesh Verma,299,20,West Pavilion,2006,design@university.com
27,Cyber Security,Dr. Sneha Sharma,315,22,Research Wing,2018,cybersecurity@university.com
28,Robotics,Dr. Ravi Mehta,278,23,Tech Block A,2015,robotics@university.com
29,Medicine,Dr. Meera Nair,360,24,Science Tower,2009,medicine@university.com
30,Pharmacy,Dr. Amit Das,334,15,Main Building,2004,pharmacy@university.com
31,Nursing,Dr. Pooja Patel,192,10,West Pavilion,2010,nursing@university.com
32,Public Health,Dr. Sunita Mehta,218,18,Research Wing,2021,publichealth@university.com
33,Aerospace Engineering,Dr. Rajesh Rao,279,17,Innovation Hall,2017,aerospaceengineering@university.com
34,Biotechnology,Dr. Sneha Nair,205,19,Science Tower,2008,biotechnology@university.com
35,Urban Planning,Dr. Anil Banerjee,331,21,Main Building,2013,urbanplanning@university.com
36,Food Technology,Dr. Priya Iyer,284,22,Central Block,2007,foodtechnology@university.com
37,Genetics,Dr. Vikram Verma,240,20,Science Tower,2012,genetics@university.com
38,Botany,Dr. Meera Singh,172,14,Research Wing,2000,botany@university.com
39,Zoology,Dr. Ravi Mehta,222,13,Innovation Hall,2015,zoology@university.com
40,Anthropology,Dr. Sunita Patel,234,20,Main Building,2016,anthropology@university.com
41,Criminology,Dr. Pooja Verma,198,19,West Pavilion,2010,criminology@university.com
42,International Relations,Dr. Priya Singh,223,18,Science Tower,2002,internationalrelations@university.com
43,Education,Dr. Anil Nair,249,15,South Annex,2014,education@university.com
44,Music,Dr. Ravi Verma,185,10,Central Block,2019,music@university.com
45,Fine Arts,Dr. Meera Mehta,210,11,West Pavilion,2003,finearts@university.com
46,Theatre,Dr. Rajesh Iyer,178,14,Main Building,2008,theatre@university.com
47,Film Studies,Dr. Nisha Patel,205,15,South Annex,2017,filmstudies@university.com
48,Media Studies,Dr. Amit Singh,265,16,Research Wing,2011,mediastudies@university.com
49,Library Science,Dr. Kiran Rao,288,17,North Campus,2005,libraryscience@university.com
50,Tourism Management,Dr. Sneha Verma,198,18,Innovation Hall,2022,tourismmanagement@university.com
51,Hospitality Management,Dr. Ravi Mehta,240,20,Science Tower,2004,hospitalitymanagement@university.com
52,Computer Science,Dr. Anil Kaur,340,16,Tech Block A,2009,computerscience@university.com
53,Electrical Engineering,Dr. Pooja Mehta,312,21,Innovation Hall,2010,electricalengineering@university.com
54,Mechanical Engineering,Dr. Rajesh Patel,298,17,Research Wing,2011,mechanicalengineering@university.com
55,Data Science,Dr. Sunita Sharma,354,15,Science Tower,2014,datascience@university.com
56,Artificial Intelligence,Dr. Kiran Mehta,276,18,Tech Block A,2020,artificialintelligence@university.com
57,Civil Engineering,Dr. Amit Patel,296,19,Central Block,2008,civilengineering@university.com
58,Chemistry,Dr. Meera Banerjee,249,15,Science Tower,2012,chemistry@university.com
59,Physics,Dr. Sneha Iyer,312,13,Research Wing,2017,physics@university.com
60,Mathematics,Dr. Anil Verma,290,14,Main Building,2015,mathematics@university.com
61,Biology,Dr. Pooja Singh,188,12,West Pavilion,2003,biology@university.com
62,Economics,Dr. Priya Verma,260,17,Innovation Hall,2010,economics@university.com
63,Psychology,Dr. Meera Mehta,236,14,Main Building,2005,psychology@university.com
64,History,Dr. Rajesh Das,223,16,South Annex,2014,history@university.com
65,Philosophy,Dr. Nisha Nair,276,13,Research Wing,2011,philosophy@university.com
66,English Literature,Dr. Amit Kaur,198,18,Science Tower,2007,englishliterature@university.com
67,Political Science,Dr. Vikram Mehta,214,14,Central Block,2004,politicalscience@university.com
68,Sociology,Dr. Sunita Patel,228,19,West Pavilion,2019,sociology@university.com
69,Anthropology,Dr. Priya Verma,308,20,Research Wing,2001,anthropology@university.com
70,Accounting,Dr. Anil Singh,241,16,Science Tower,2008,accounting@university.com
71,Finance,Dr. Kiran Nair,350,13,Main Building,2006,finance@university.com
72,Marketing,Dr. Sneha Patel,319,18,Innovation Hall,2013,marketing@university.com
73,Human Resource Management,Dr. Rajesh Mehta,276,15,Central Block,2002,humanresourcemanagement@university.com
74,Operations Management,Dr. Ravi Sharma,255,17,West Pavilion,2009,operationsmanagement@university.com
75,Business Administration,Dr. Nisha Mehta,295,19,Tech Block A,2016,businessadministration@university.com
76,Architecture,Dr. Meera Patel,267,15,Science Tower,2018,architecture@university.com
77,Environmental Science,Dr. Priya Mehta,222,11,Research Wing,2005,environmentalscience@university.com
78,Public Health,Dr. Amit Banerjee,244,17,South Annex,2019,publichealth@university.com
79,Nursing,Dr. Vikram Verma,215,10,Main Building,2014,nursing@university.com
80,Pharmacy,Dr. Sneha Mehta,358,22,Science Tower,2006,pharmacy@university.com
81,Medicine,Dr. Rajesh Nair,388,23,Research Wing,2020,medicine@university.com
82,Veterinary Science,Dr. Sunita Singh,177,14,West Pavilion,2007,veterinaryscience@university.com
83,Agricultural Science,Dr. Meera Patel,230,18,Innovation Hall,2011,agriculturalscience@university.com
84,Food Technology,Dr. Kiran Verma,309,19,Science Tower,2013,foodtechnology@university.com
85,Marine Biology,Dr. Priya Banerjee,267,16,Research Wing,2010,marinebiology@university.com
86,Genetics,Dr. Amit Mehta,312,18,Central Block,2001,genetics@university.com
87,Zoology,Dr. Ravi Singh,256,14,Main Building,2009,zoology@university.com
88,Botany,Dr. Sneha Nair,202,11,Science Tower,2008,botany@university.com
89,Design,Dr. Meera Sharma,293,20,Innovation Hall,2015,design@university.com
90,Fine Arts,Dr. Pooja Verma,222,14,Research Wing,2004,finearts@university.com
91,Music,Dr. Rajesh Mehta,179,10,South Annex,2019,music@university.com
92,Theatre,Dr. Nisha Patel,207,11,Main Building,2002,theatre@university.com
93,Film Studies,Dr. Priya Verma,288,18,Science Tower,2018,filmstudies@university.com
94,Media Studies,Dr. Anil Mehta,314,20,Research Wing,2007,mediastudies@university.com
95,Library Science,Dr. Vikram Iyer,260,16,North Campus,2016,libraryscience@university.com
96,Tourism Management,Dr. Sunita Verma,202,15,South Annex,2014,tourismmanagement@university.com
97,Hospitality Management,Dr. Ravi Banerjee,244,14,Main Building,2009,hospitalitymanagement@university.com
98,Urban Planning,Dr. Meera Singh,312,18,Science Tower,2011,urbanplanning@university.com
99,Criminology,Dr. Pooja Kaur,228,19,Innovation Hall,2003,criminology@university.com
100,International Relations,Dr. Rajesh Mehta,318,21,Research Wing,2022,internationalrelations@university.com
